Pokemon_1 ,Type_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2 ,Type_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner
Wash Rotom,Electric,50,65,107,86,308,Mega Mawile,Steel,50,105,125,50,265,1
Frost Rotom,Electric,50,65,107,86,308,Mega Metagross,Steel,80,145,150,110,420,2
Fan Rotom,Electric,50,65,107,86,308,Mega Steelix,Steel,75,125,230,30,460,2
Mow Rotom,Electric,50,65,107,86,308,Melmetal,Steel,135,143,143,34,390,2
Uxie,Psychic,75,75,130,95,375,Meltan,Steel,46,65,65,34,172.5,1
Mesprit,Psychic,80,105,105,80,370,Metagross,Steel,80,135,130,70,388.75,2
Azelf,Psychic,75,125,70,115,385,Metang,Steel,60,75,100,50,253.75,1
Dialga,Steel,100,120,120,90,430,Perrserker,Steel,70,110,100,50,270,1
Palkia,Water,90,120,100,100,410,Registeel,Steel,80,75,150,50,235,1
Heatran,Fire,91,90,106,77,364,Skarmory,Steel,65,80,140,70,175,1
Regigigas,Normal,110,160,110,100,480,Steelix,Steel,75,85,200,30,310,1
Giratina Altered Forme,Ghost,150,100,120,90,460,Aegislash Blade Forme,Steel,60,150,50,60,120,1
Giratina Origin Forme,Ghost,150,120,100,90,460,Aegislash Shield Forme,Steel,60,50,150,60,80,1
Cresselia,Psychic,120,70,120,85,395,Aggron,Steel,70,110,180,50,375,1
Phione,Water,80,80,80,80,320,Aron,Steel,50,70,100,30,90,1
Manaphy,Water,100,100,100,100,400,Beldum,Steel,40,55,80,30,105,1
Darkrai,Dark,70,90,90,125,375,Bronzong,Steel,67,89,116,33,125,1
Shaymin Land Forme,Grass,100,100,100,100,400,Bronzor,Steel,57,24,86,23,140,1
Shaymin Sky Forme,Grass,100,103,75,127,405,Celesteela,Steel,97,101,103,61,336.25,1
Arceus,Normal,120,120,120,120,480,Cobalion,Steel,91,90,129,108,358,1
Victini,Psychic,100,100,100,100,400,Copperajah,Steel,122,130,69,30,301,1
Snivy,Grass,45,45,55,63,208,Cufant,Steel,72,80,49,40,218.5,2
Servine,Grass,60,60,75,83,278,Dialga,Steel,100,120,120,90,415,2
Serperior,Grass,75,75,95,113,358,Doublade,Steel,59,110,150,35,316.5,1
Tepig,Fire,65,63,45,45,218,Duraludon,Steel,70,95,115,85,302,2
Pignite,Fire,90,93,55,55,293,Galarian Meowth,Steel,50,65,55,40,24,1
Emboar,Fire,110,123,65,65,363,Honedge,Steel,45,80,100,28,7,1
Oshawott,Water,55,55,45,45,200,Jirachi,Steel,100,100,100,100,345,2
Dewott,Water,75,75,60,60,270,Klang,Steel,60,80,95,50,210,1
Samurott,Water,95,100,85,70,350,Klefki,Steel,57,80,91,75,203,1
Patrat,Normal,45,55,39,42,181,Klink,Steel,40,55,70,30,167.5,1
Watchog,Normal,60,85,69,77,291,Klinklang,Steel,60,100,115,90,322.5,2
Lillipup,Normal,45,60,45,55,205,Lairon,Steel,60,90,140,40,315,2
Herdier,Normal,65,80,65,60,270,Magearna,Steel,80,95,115,65,315,2
Stoutland,Normal,85,110,90,80,365,Mawile,Steel,50,85,85,50,215,1
Purrloin,Dark,41,50,37,66,194,Mega Aggron,Steel,70,140,230,50,440,2
Liepard,Dark,64,88,50,106,308,Mega Mawile,Steel,50,105,125,50,286,1
Pansage,Grass,50,53,48,64,215,Mega Metagross,Steel,80,145,150,110,458.5,2
Simisage,Grass,75,98,63,101,337,Mega Steelix,Steel,75,125,230,30,362,2
Pansear,Fire,50,53,48,64,215,Melmetal,Steel,135,143,143,34,349,2
Simisear,Fire,75,98,63,101,337,Meltan,Steel,46,65,65,34,14,1
Panpour,Water,50,53,48,64,215,Metagross,Steel,80,135,130,70,362,2
Simipour,Water,75,98,63,101,337,Metang,Steel,60,75,100,50,187,1
Munna,Psychic,76,25,45,24,170,Perrserker,Steel,70,110,100,50,317.5,2
Musharna,Psychic,116,55,85,29,285,Registeel,Steel,80,75,150,50,327.5,2
Pidove,Normal,50,55,50,43,198,Skarmory,Steel,65,80,140,70,327.5,2
Tranquill,Normal,62,77,62,65,266,Steelix,Steel,75,85,200,30,351.5,2
Unfezant,Normal,80,115,80,93,368,Aegislash Blade Forme,Steel,60,150,50,60,320,1
Blitzle,Electric,45,60,32,76,213,Aegislash Shield Forme,Steel,60,50,150,60,260,2
Zebstrika,Electric,75,100,63,116,354,Aggron,Steel,70,110,180,50,310,1
Roggenrola,Rock,55,75,85,15,230,Aron,Steel,50,70,100,30,212.5,1
Boldore,Rock,70,105,105,20,300,Beldum,Steel,40,55,80,30,152.5,1
Gigalith,Rock,85,135,130,25,375,Bronzong,Steel,67,89,116,33,237.5,1
Woobat,Psychic,65,45,43,72,225,Bronzor,Steel,57,24,86,23,178.75,1
Swoobat,Psychic,67,57,55,114,293,Celesteela,Steel,97,101,103,61,333.5,2
Drilbur,Ground,60,85,40,68,253,Cobalion,Steel,91,90,129,108,248,1
Excadrill,Ground,110,135,60,88,393,Copperajah,Steel,122,130,69,30,81,1
Audino,Normal,103,60,86,50,299,Cufant,Steel,72,80,49,40,211,1
Mega Audino,Normal,103,60,126,50,339,Dialga,Steel,100,120,120,90,400,2
Timburr,Fighting,75,80,55,35,245,Doublade,Steel,59,110,150,35,314,2
Gurdurr,Fighting,85,105,85,40,315,Duraludon,Steel,70,95,115,85,260,1
Conkeldurr,Fighting,105,140,95,45,385,Galarian Meowth,Steel,50,65,55,40,140,1
Tympole,Water,50,50,40,64,204,Honedge,Steel,45,80,100,28,203,1
Palpitoad,Water,75,65,55,69,264,Jirachi,Steel,100,100,100,100,335,2
Seismitoad,Water,105,95,75,74,349,Klang,Steel,60,80,95,50,190,1
Throh,Fighting,120,100,85,45,350,Klefki,Steel,57,80,91,75,253,1
Sawk,Fighting,75,125,75,85,360,Klink,Steel,40,55,70,30,132.5,1
Sewaddle,Bug,45,53,70,42,210,Klinklang,Steel,60,100,115,90,338.5,2
Swadloon,Bug,55,63,90,42,250,Lairon,Steel,60,90,140,40,298.5,2
Leavanny,Bug,75,103,80,92,350,Magearna,Steel,80,95,115,65,329.25,1
Venipede,Bug,30,45,59,57,191,Mawile,Steel,50,85,85,50,258.75,2
Whirlipede,Bug,40,55,99,47,241,Mega Aggron,Steel,70,140,230,50,462.5,2
Scolipede,Bug,60,100,89,112,361,Mega Mawile,Steel,50,105,125,50,305,1
Cottonee,Grass,40,27,60,66,193,Mega Metagross,Steel,80,145,150,110,471.5,2
Whimsicott,Grass,60,67,85,116,328,Mega Steelix,Steel,75,125,230,30,393,2
Petilil,Grass,45,35,50,30,160,Melmetal,Steel,135,143,143,34,437.5,2
Lilligant,Grass,70,60,75,90,295,Meltan,Steel,46,65,65,34,180,1
Basculin Red-Striped Form,Water,70,92,65,98,325,Metagross,Steel,80,135,130,70,323,1
Basculin Blue-Striped Form,Water,70,92,65,98,325,Metang,Steel,60,75,100,50,193,1
Sandile,Ground,50,72,35,65,222,Perrserker,Steel,70,110,100,50,186,1
Krokorok,Ground,60,82,45,74,261,Registeel,Steel,80,75,150,50,191,1
Krookodile,Ground,95,117,80,92,384,Skarmory,Steel,65,80,140,70,355,1
Darumaka,Fire,70,90,45,50,255,Steelix,Steel,75,85,200,30,210,1
Galarian Darumaka,Ice,70,90,45,50,255,Aegislash Blade Forme,Steel,60,150,50,60,275,2
Darmanitan Standard Mode,Fire,105,140,55,95,395,Aegislash Shield Forme,Steel,60,50,150,60,40,1
Darmanitan Zen Mode,Fire,105,30,105,55,295,Aggron,Steel,70,110,180,50,380,2
Darmanitan Galarian Standard Mode,Ice,105,140,55,95,395,Aron,Steel,50,70,100,30,180,1
Darmanitan Galarian Zen Mode,Ice,105,160,55,135,455,Beldum,Steel,40,55,80,30,125,1
Maractus,Grass,75,86,67,60,288,Bronzong,Steel,67,89,116,33,262,1
Dwebble,Bug,50,65,85,55,255,Bronzor,Steel,57,24,86,23,125,1
Crustle,Bug,70,105,125,45,345,Celesteela,Steel,97,101,103,61,335.75,1
Scraggy,Dark,50,75,70,48,243,Cobalion,Steel,91,90,129,108,380.5,2
Scrafty,Dark,65,90,115,58,328,Copperajah,Steel,122,130,69,30,261,1
Sigilyph,Psychic,72,58,80,97,307,Cufant,Steel,72,80,49,40,212,1
Yamask,Ghost,38,30,85,30,183,Dialga,Steel,100,120,120,90,400,2
Galarian Yamask,Ground,38,55,85,30,208,Doublade,Steel,59,110,150,35,244,2
Cofagrigus,Ghost,58,50,145,30,283,Duraludon,Steel,70,95,115,85,315,2
Tirtouga,Water,54,78,103,22,257,Galarian Meowth,Steel,50,65,55,40,132,1
Carracosta,Water,74,108,133,32,347,Honedge,Steel,45,80,100,28,145,1
Archen,Rock,55,112,45,70,282,Jirachi,Steel,100,100,100,100,344,2
Archeops,Rock,75,140,65,110,390,Klang,Steel,60,80,95,50,215,1
Trubbish,Poison,50,50,62,65,227,Klefki,Steel,57,80,91,75,303,2
Garbodor,Poison,80,95,82,75,332,Klink,Steel,40,55,70,30,195,1
Zorua,Dark,40,65,40,65,210,Klinklang,Steel,60,100,115,90,300,2
Zoroark,Dark,60,105,60,105,330,Lairon,Steel,60,90,140,40,225,1
Minccino,Normal,55,50,40,75,220,Magearna,Steel,80,95,115,65,330,2
Cinccino,Normal,75,95,60,115,345,Mawile,Steel,50,85,85,50,222.5,1
Gothita,Psychic,45,30,50,45,170,Mega Aggron,Steel,70,140,230,50,475,2
Gothorita,Psychic,60,45,70,55,230,Mega Mawile,Steel,50,105,125,50,307.5,2
Gothitelle,Psychic,70,55,95,65,285,Mega Metagross,Steel,80,145,150,110,471.25,2
Solosis,Psychic,45,30,40,20,135,Mega Steelix,Steel,75,125,230,30,445,2
Duosion,Psychic,65,40,50,30,185,Melmetal,Steel,135,143,143,34,435,2
Reuniclus,Psychic,110,65,75,30,280,Meltan,Steel,46,65,65,34,177.5,1
Ducklett,Water,62,44,50,55,211,Metagross,Steel,80,135,130,70,371,2
Swanna,Water,75,87,63,98,323,Metang,Steel,60,75,100,50,198,1
Vanillite,Ice,36,50,50,44,180,Perrserker,Steel,70,110,100,50,305,2
Vanillish,Ice,51,65,65,59,240,Registeel,Steel,80,75,150,50,322.5,2
Vanilluxe,Ice,71,95,85,79,330,Skarmory,Steel,65,80,140,70,260,1
Deerling,Normal,60,60,50,75,245,Steelix,Steel,75,85,200,30,360,2
Sawsbuck,Normal,80,100,70,95,345,Aegislash Blade Forme,Steel,60,150,50,60,320,1
Emolga,Electric,55,75,60,103,293,Aegislash Shield Forme,Steel,60,50,150,60,245,1
Karrablast,Bug,50,75,45,60,230,Aggron,Steel,70,110,180,50,372.5,2
Escavalier,Bug,70,135,105,20,330,Aron,Steel,50,70,100,30,182.5,1
Foongus,Grass,69,55,45,15,184,Beldum,Steel,40,55,80,30,177.5,1
Amoonguss,Grass,114,85,70,30,299,Bronzong,Steel,67,89,116,33,262.5,1
Frillish,Water,55,40,50,40,185,Bronzor,Steel,57,24,86,23,150,1
Jellicent,Water,100,60,70,60,290,Celesteela,Steel,97,101,103,61,302,2
Alomomola,Water,165,75,80,65,385,Cobalion,Steel,91,90,129,108,343,1
Joltik,Bug,50,47,50,65,212,Copperajah,Steel,122,130,69,30,327.5,2
Galvantula,Bug,70,77,60,108,315,Cufant,Steel,72,80,49,40,202.5,1
Ferroseed,Grass,44,50,91,10,195,Dialga,Steel,100,120,120,90,417.5,2
Ferrothorn,Grass,74,94,131,20,319,Doublade,Steel,59,110,150,35,307,1
Klink,Steel,40,55,70,30,195,Duraludon,Steel,70,95,115,85,337.5,2
Klang,Steel,60,80,95,50,285,Galarian Meowth,Steel,50,65,55,40,170,1
Klinklang,Steel,60,100,115,90,365,Honedge,Steel,45,80,100,28,203,1
Tynamo,Electric,35,55,40,60,190,Jirachi,Steel,100,100,100,100,345,2
Eelektrik,Electric,65,85,70,40,260,Klang,Steel,60,80,95,50,200,1
Eelektross,Electric,85,115,80,50,330,Klefki,Steel,57,80,91,75,188,1
Elgyem,Psychic,55,55,55,30,195,Klink,Steel,40,55,70,30,167.5,1
Beheeyem,Psychic,75,75,75,40,265,Klinklang,Steel,60,100,115,90,327.5,2
Litwick,Ghost,50,30,55,20,155,Lairon,Steel,60,90,140,40,300,2
Lampent,Ghost,60,40,60,55,215,Magearna,Steel,80,95,115,65,315,2
Chandelure,Ghost,60,55,90,80,285,Mawile,Steel,50,85,85,50,215,1
Axew,Dragon,46,87,60,57,250,Mega Aggron,Steel,70,140,230,50,446.5,2
Fraxure,Dragon,66,117,70,67,320,Mega Mawile,Steel,50,105,125,50,330,2
Haxorus,Dragon,76,147,90,97,410,Mega Metagross,Steel,80,145,150,110,411.5,2
Cubchoo,Ice,55,70,40,40,205,Mega Steelix,Steel,75,125,230,30,390,2
Beartic,Ice,95,130,80,50,355,Melmetal,Steel,135,143,143,34,390,2
Cryogonal,Ice,80,50,50,105,285,Meltan,Steel,46,65,65,34,185,1
Shelmet,Bug,50,40,85,25,200,Metagross,Steel,80,135,130,70,375,2
Accelgor,Bug,80,70,40,145,335,Metang,Steel,60,75,100,50,215,1
Stunfisk,Ground,109,66,84,32,291,Perrserker,Steel,70,110,100,50,198,1
Galarian Stunfisk,Ground,109,81,99,32,321,Registeel,Steel,80,75,150,50,193,1
Mienfoo,Fighting,45,85,50,65,245,Skarmory,Steel,65,80,140,70,312.5,2
Mienshao,Fighting,65,125,60,105,355,Steelix,Steel,75,85,200,30,327.5,1
Druddigon,Dragon,77,120,90,48,335,Aegislash Blade Forme,Steel,60,150,50,60,260,1
Golett,Ground,59,74,50,35,218,Aegislash Shield Forme,Steel,60,50,150,60,172,1
Golurk,Ground,89,124,80,55,348,Aggron,Steel,70,110,180,50,-86,1
Pawniard,Dark,45,85,70,60,260,Aron,Steel,50,70,100,30,165,1
Bisharp,Dark,65,125,100,70,360,Beldum,Steel,40,55,80,30,-45,1
Bouffalant,Normal,95,110,95,55,355,Bronzong,Steel,67,89,116,33,250,1
Rufflet,Normal,70,83,50,60,263,Bronzor,Steel,57,24,86,23,148.5,1
Braviary,Normal,100,123,75,80,378,Celesteela,Steel,97,101,103,61,300.5,1
Vullaby,Dark,70,55,75,60,260,Cobalion,Steel,91,90,129,108,390.5,2
Mandibuzz,Dark,110,65,105,80,360,Copperajah,Steel,122,130,69,30,286,1
Heatmor,Fire,85,97,66,65,313,Cufant,Steel,72,80,49,40,47,1
Durant,Bug,58,109,112,109,388,Dialga,Steel,100,120,120,90,375.5,1
Deino,Dark,52,65,50,38,205,Doublade,Steel,59,110,150,35,224,2
Zweilous,Dark,72,85,70,58,285,Duraludon,Steel,70,95,115,85,280,1
Hydreigon,Dark,92,105,90,98,385,Galarian Meowth,Steel,50,65,55,40,105,1
Larvesta,Bug,55,85,55,60,255,Honedge,Steel,45,80,100,28,231.75,1
Volcarona,Bug,85,60,65,100,310,Jirachi,Steel,100,100,100,100,340,2
Cobalion,Steel,91,90,129,108,418,Klang,Steel,60,80,95,50,240,1
Terrakion,Rock,91,129,90,108,418,Klefki,Steel,57,80,91,75,238.5,1
Virizion,Grass,91,90,72,108,361,Klink,Steel,40,55,70,30,150,1
Tornadus Incarnate Forme,Flying,79,115,70,111,375,Klinklang,Steel,60,100,115,90,307.5,1
Tornadus Therian Forme,Flying,79,100,80,121,380,Lairon,Steel,60,90,140,40,305,1
Thundurus Incarnate Forme,Electric,79,115,70,111,375,Magearna,Steel,80,95,115,65,240,1
Thundurus Therian Forme,Electric,79,105,70,101,355,Mawile,Steel,50,85,85,50,165,1
Reshiram,Dragon,100,120,100,90,410,Mega Aggron,Steel,70,140,230,50,430,2
Zekrom,Dragon,100,150,120,90,460,Mega Mawile,Steel,50,105,125,50,330,1
Landorus Incarnate Forme,Ground,89,125,90,101,405,Mega Metagross,Steel,80,145,150,110,235,1
Landorus Therian Forme,Ground,89,145,90,91,415,Mega Steelix,Steel,75,125,230,30,170,1
Kyurem,Dragon,125,130,90,95,440,Melmetal,Steel,135,143,143,34,390,1
Black Kyurem,Dragon,125,170,100,95,490,Meltan,Steel,46,65,65,34,125,1
White Kyurem,Dragon,125,120,90,95,430,Metagross,Steel,80,135,130,70,355,1
Keldeo Ordinary Forme,Water,91,72,90,108,361,Metang,Steel,60,75,100,50,213,1
Keldeo Resolute Forme,Water,91,72,90,108,361,Perrserker,Steel,70,110,100,50,258,1
Meloetta Aria Forme,Normal,100,77,77,90,344,Registeel,Steel,80,75,150,50,316.5,1
Meloetta Pirouette Forme,Normal,100,128,90,128,446,Skarmory,Steel,65,80,140,70,291,1
Genesect,Bug,71,120,95,99,385,Steelix,Steel,75,85,200,30,330,1
Chespin,Grass,56,61,65,38,220,Aegislash Blade Forme,Steel,60,150,50,60,289.5,2
Quilladin,Grass,61,78,95,57,291,Aegislash Shield Forme,Steel,60,50,150,60,281,1
Chesnaught,Grass,88,107,122,64,381,Aggron,Steel,70,110,180,50,303,1
Fennekin,Fire,40,45,40,60,185,Aron,Steel,50,70,100,30,205,2
Braixen,Fire,59,59,58,73,249,Beldum,Steel,40,55,80,30,87,1
Delphox,Fire,75,69,72,104,320,Bronzong,Steel,67,89,116,33,167,1
Froakie,Water,41,56,40,71,208,Bronzor,Steel,57,24,86,23,134,1
Frogadier,Water,54,63,52,97,266,Celesteela,Steel,97,101,103,61,299,2
Greninja,Water,72,95,67,122,356,Cobalion,Steel,91,90,129,108,323,1
Ash-Greninja,Water,72,145,67,132,416,Copperajah,Steel,122,130,69,30,206,1
Bunnelby,Normal,38,36,38,57,169,Cufant,Steel,72,80,49,40,223,2
Diggersby,Normal,85,56,77,78,296,Dialga,Steel,100,120,120,90,402,2
Fletchling,Normal,45,50,43,62,200,Doublade,Steel,59,110,150,35,354,2
Fletchinder,Fire,62,73,55,84,274,Duraludon,Steel,70,95,115,85,292,2
Talonflame,Fire,78,81,71,126,356,Galarian Meowth,Steel,50,65,55,40,48,1
Scatterbug,Bug,38,35,40,35,148,Honedge,Steel,45,80,100,28,244.25,2
Spewpa,Bug,45,22,60,29,156,Jirachi,Steel,100,100,100,100,378,2
Vivillon,Bug,80,52,50,89,271,Klang,Steel,60,80,95,50,259,1
Litleo,Fire,62,50,58,72,242,Klefki,Steel,57,80,91,75,203,1
Pyroar,Fire,86,68,72,106,332,Klink,Steel,40,55,70,30,59,1
Flab̩b̩,Fairy,44,38,39,42,163,Klinklang,Steel,60,100,115,90,346,2
Floette,Fairy,54,45,47,52,198,Lairon,Steel,60,90,140,40,307.5,2
Florges,Fairy,78,65,68,75,286,Magearna,Steel,80,95,115,65,322.5,2
Skiddo,Grass,66,65,48,52,231,Mawile,Steel,50,85,85,50,237.5,2
Gogoat,Grass,123,100,62,68,353,Mega Aggron,Steel,70,140,230,50,440,2
Pancham,Fighting,67,82,62,43,254,Mega Mawile,Steel,50,105,125,50,289,2
Pangoro,Fighting,95,124,78,58,355,Mega Metagross,Steel,80,145,150,110,423,2
Furfrou,Normal,75,80,60,102,317,Mega Steelix,Steel,75,125,230,30,420,2
Espurr,Psychic,62,48,54,68,232,Melmetal,Steel,135,143,143,34,431,2
Meowstic Male,Psychic,74,48,76,104,302,Meltan,Steel,46,65,65,34,186,1
Meowstic Female,Psychic,74,48,76,104,302,Metagross,Steel,80,135,130,70,403,2
Honedge,Steel,45,80,100,28,253,Metang,Steel,60,75,100,50,245,1
Doublade,Steel,59,110,150,35,354,Perrserker,Steel,70,110,100,50,275,1
Aegislash Blade Forme,Steel,60,150,50,60,320,Registeel,Steel,80,75,150,50,280,1
Aegislash Shield Forme,Steel,60,50,150,60,320,Skarmory,Steel,65,80,140,70,330,2
Spritzee,Fairy,78,52,60,23,213,Steelix,Steel,75,85,200,30,364,2
Aromatisse,Fairy,101,72,72,29,274,Aegislash Blade Forme,Steel,60,150,50,60,284,2
Swirlix,Fairy,62,48,66,49,225,Aegislash Shield Forme,Steel,60,50,150,60,296,2
Slurpuff,Fairy,82,80,86,72,320,Aggron,Steel,70,110,180,50,370,2
Inkay,Dark,53,54,53,45,205,Aron,Steel,50,70,100,30,196,1
Malamar,Dark,86,92,88,73,339,Beldum,Steel,40,55,80,30,21,1
Binacle,Rock,42,52,67,50,211,Bronzong,Steel,67,89,116,33,279,2
Barbaracle,Rock,72,105,115,68,360,Bronzor,Steel,57,24,86,23,137.5,1
Skrelp,Poison,50,60,60,30,200,Celesteela,Steel,97,101,103,61,362,2
Dragalge,Poison,65,75,90,44,274,Cobalion,Steel,91,90,129,108,418,2
Clauncher,Water,50,53,62,44,209,Copperajah,Steel,122,130,69,30,298,2
Clawitzer,Water,71,73,88,59,291,Cufant,Steel,72,80,49,40,168,1
Helioptile,Electric,44,38,33,70,185,Dialga,Steel,100,120,120,90,411,2
Heliolisk,Electric,62,55,52,109,278,Doublade,Steel,59,110,150,35,299,2
Tyrunt,Rock,58,89,77,48,272,Duraludon,Steel,70,95,115,85,320.5,2
Tyrantrum,Rock,82,121,119,71,393,Galarian Meowth,Steel,50,65,55,40,149.5,1
Amaura,Rock,77,59,50,46,232,Honedge,Steel,45,80,100,28,223.5,1
Aurorus,Rock,123,77,72,58,330,Jirachi,Steel,100,100,100,100,361.5,2
Sylveon,Fairy,95,65,65,60,285,Klang,Steel,60,80,95,50,252.5,1
Hawlucha,Fighting,78,92,75,118,363,Klefki,Steel,57,80,91,75,257,1
Dedenne,Electric,67,58,57,101,283,Klink,Steel,40,55,70,30,137,1
Carbink,Rock,50,50,150,50,300,Klinklang,Steel,60,100,115,90,340,2
Goomy,Dragon,45,50,35,40,170,Lairon,Steel,60,90,140,40,305,2
Sliggoo,Dragon,68,75,53,60,256,Magearna,Steel,80,95,115,65,355,2
Goodra,Dragon,90,100,70,80,340,Mawile,Steel,50,85,85,50,270,1
Klefki,Steel,57,80,91,75,303,Mega Aggron,Steel,70,140,230,50,450,2
Phantump,Ghost,43,70,48,38,199,Mega Mawile,Steel,50,105,125,50,260,2
Trevenant,Ghost,85,110,76,56,327,Mega Metagross,Steel,80,145,150,110,265,1
Pumpkaboo Average Size,Ghost,49,66,70,51,236,Mega Steelix,Steel,75,125,230,30,394,2
Pumpkaboo Small Size,Ghost,44,66,70,56,236,Melmetal,Steel,135,143,143,34,389,2
Pumpkaboo Large Size,Ghost,54,66,70,46,236,Meltan,Steel,46,65,65,34,144,1
Pumpkaboo Super Size,Ghost,59,66,70,41,236,Metagross,Steel,80,135,130,70,283,2
Gourgeist Average Size,Ghost,65,90,122,84,361,Metang,Steel,60,75,100,50,105,1
Gourgeist Small Size,Ghost,55,85,122,99,361,Perrserker,Steel,70,110,100,50,245,1
Gourgeist Large Size,Ghost,75,95,122,69,361,Registeel,Steel,80,75,150,50,260,1
Gourgeist Super Size,Ghost,85,100,122,54,361,Skarmory,Steel,65,80,140,70,255,1
Bergmite,Ice,55,69,85,28,237,Steelix,Steel,75,85,200,30,321,2
Avalugg,Ice,95,117,184,28,424,Aegislash Blade Forme,Steel,60,150,50,60,261.5,1
Noibat,Flying,40,30,35,55,160,Aegislash Shield Forme,Steel,60,50,150,60,305,2
Noivern,Flying,85,70,80,123,358,Aggron,Steel,70,110,180,50,392.5,2
Xerneas,Fairy,126,131,95,99,451,Aron,Steel,50,70,100,30,184.5,1
Yveltal,Dark,126,131,95,99,451,Beldum,Steel,40,55,80,30,-57,1
Zygarde 50% Forme,Dragon,108,100,121,95,424,Bronzong,Steel,67,89,116,33,255,1
Zygarde 10% Forme,Dragon,54,100,71,115,340,Bronzor,Steel,57,24,86,23,140,1
Zygarde Complete Forme,Dragon,216,100,121,85,522,Celesteela,Steel,97,101,103,61,312,1
Diancie,Rock,50,100,150,50,350,Cobalion,Steel,91,90,129,108,393,2
Mega Diancie,Rock,50,160,110,110,430,Copperajah,Steel,122,130,69,30,271,1
Hoopa Hoopa Confined,Psychic,80,110,60,70,320,Cufant,Steel,72,80,49,40,186,1
Hoopa Hoopa Unbound,Psychic,80,160,60,80,380,Dialga,Steel,100,120,120,90,350,1
Volcanion,Fire,80,110,120,70,380,Doublade,Steel,59,110,150,35,134,1
Rowlet,Grass,68,55,55,42,220,Duraludon,Steel,70,95,115,85,351.25,2
Dartrix,Grass,78,75,75,52,280,Galarian Meowth,Steel,50,65,55,40,172.5,1
Decidueye,Grass,78,107,75,70,330,Honedge,Steel,45,80,100,28,199.5,1
Litten,Fire,45,65,40,70,220,Jirachi,Steel,100,100,100,100,270,2
Torracat,Fire,65,85,50,90,290,Klang,Steel,60,80,95,50,115,1
Incineroar,Fire,95,115,90,60,360,Klefki,Steel,57,80,91,75,73,1
Popplio,Water,50,54,54,40,198,Klink,Steel,40,55,70,30,141,1
Brionne,Water,60,69,69,50,248,Klinklang,Steel,60,100,115,90,296,2
Primarina,Water,80,74,74,60,288,Lairon,Steel,60,90,140,40,182,1
Pikipek,Normal,35,75,30,65,205,Magearna,Steel,80,95,115,65,317.5,2
Trumbeak,Normal,55,85,50,75,265,Mawile,Steel,50,85,85,50,227.5,1
Toucannon,Normal,80,120,75,60,335,Mega Aggron,Steel,70,140,230,50,430,2
Yungoos,Normal,48,70,30,45,193,Mega Mawile,Steel,50,105,125,50,295,2
Gumshoos,Normal,88,110,60,45,303,Mega Metagross,Steel,80,145,150,110,430,2
Grubbin,Bug,47,62,45,46,200,Mega Steelix,Steel,75,125,230,30,429,2
Charjabug,Bug,57,82,95,36,270,Melmetal,Steel,135,143,143,34,414,2
Vikavolt,Bug,77,70,90,43,280,Meltan,Steel,46,65,65,34,175,1
Crabrawler,Fighting,47,82,57,63,249,Metagross,Steel,80,135,130,70,374,2
Crabominable,Fighting,97,132,77,43,349,Metang,Steel,60,75,100,50,219,1
Oricorio Baile Style,Fire,75,70,70,93,308,Perrserker,Steel,70,110,100,50,190,1
Oricorio Pom-Pom Style,Electric,75,70,70,93,308,Registeel,Steel,80,75,150,50,285,1
Oricorio Pa'u Style,Psychic,75,70,70,93,308,Skarmory,Steel,65,80,140,70,320,2
Oricorio Sensu Style,Ghost,75,70,70,93,308,Steelix,Steel,75,85,200,30,320,2
Cutiefly,Bug,40,45,40,84,209,Aegislash Blade Forme,Steel,60,150,50,60,308.75,2
Ribombee,Bug,60,55,60,124,299,Aegislash Shield Forme,Steel,60,50,150,60,306.25,2
Rockruff,Rock,45,65,40,60,210,Aggron,Steel,70,110,180,50,377.5,2
Own Tempo Rockruff,Rock,45,65,40,60,210,Aron,Steel,50,70,100,30,217.5,2
Lycanroc Midday Form,Rock,75,115,65,112,367,Beldum,Steel,40,55,80,30,147.5,1
Lycanroc Midnight Form,Rock,85,115,75,82,357,Bronzong,Steel,67,89,116,33,247.5,1
Lycanroc Dusk Form,Rock,75,117,65,110,367,Bronzor,Steel,57,24,86,23,131.5,1
Wishiwashi Solo Form,Water,45,20,20,40,125,Celesteela,Steel,97,101,103,61,342,2
Wishiwashi School Form,Water,45,140,130,30,345,Cobalion,Steel,91,90,129,108,278,1
Mareanie,Poison,50,53,62,45,210,Copperajah,Steel,122,130,69,30,351,2
Toxapex,Poison,50,63,152,35,300,Cufant,Steel,72,80,49,40,241,1
Mudbray,Ground,70,100,70,45,285,Dialga,Steel,100,120,120,90,230,1
Mudsdale,Ground,100,125,100,35,360,Doublade,Steel,59,110,150,35,104,1
Dewpider,Water,38,40,52,27,157,Duraludon,Steel,70,95,115,85,345,2
Araquanid,Water,68,70,92,42,272,Galarian Meowth,Steel,50,65,55,40,140,1
Fomantis,Grass,40,55,35,35,165,Honedge,Steel,45,80,100,28,225.5,2
Lurantis,Grass,70,105,90,45,310,Jirachi,Steel,100,100,100,100,347.5,2
Morelull,Grass,40,35,55,15,145,Klang,Steel,60,80,95,50,267.5,2
Shiinotic,Grass,60,45,80,30,215,Klefki,Steel,57,80,91,75,280.5,2
